original_path,new_path,action,bytes,file_count,sha256,verified
results/tests/52/threshold__f50__threshold_value=190/detections.png,data/tests/detection/threshold/legacy_t190__cfgfeeed012/frame_screening/video_52/frame_50/threshold__f50__threshold_value_190/detections.png,move_file,318425,1,20ff5a404bc3c7d158c20fe92ddd40c87e5a096c9c4f417f81337e49fd7888f9,True
results/tests/52/threshold__f50__threshold_value=190/summary.json,data/tests/detection/threshold/legacy_t190__cfgfeeed012/frame_screening/video_52/frame_50/threshold__f50__threshold_value_190/summary.json,move_file,2456,1,87cf35e0f43bce2d4f08d7676ac86b82f2bf81c94350585ab82aace2d6e3f96e,True
results/tests/52/threshold__f50__threshold_value=200/00_input.png,data/tests/detection/_shared_inputs/video_52/frame_50.png,deduplicate_identical_input,307380,1,6c670c58e28a05045ddf49ffb3ce7e6a8515eb4f2b7e222c4eb6726c1d6d346e,True
results/tests/52/threshold__f50__threshold_value=200/detections.csv,data/tests/detection/threshold/legacy_t200__cfg1f8f28ac/frame_screening/video_52/frame_50/threshold__f50__threshold_value_200/detections.csv,move_file,1632,1,624ab455f8f4e36a75ca4a6186b8252d929d0c5c2404ba1c48ca8dd123c3ba70,True
results/tests/52/threshold__f50__threshold_value=200/detections.png,data/tests/detection/threshold/legacy_t200__cfg1f8f28ac/frame_screening/video_52/frame_50/threshold__f50__threshold_value_200/detections.png,move_file,318539,1,53995f14dec67a199e77f9e03d4ce3920eb1d29b814702340d9749ae29ffa10e,True
results/tests/52/threshold__f50__threshold_value=200/summary.json,data/tests/detection/threshold/legacy_t200__cfg1f8f28ac/frame_screening/video_52/frame_50/threshold__f50__threshold_value_200/summary.json,move_file,2349,1,bd6d9de0628e18de09fac286c12b670e1e626c5265e424fca9def97698c6eb60,True
results/tests/52/threshold__f50__threshold_value=210/00_input.png,data/tests/detection/_shared_inputs/video_52/frame_50.png,deduplicate_identical_input,307380,1,6c670c58e28a05045ddf49ffb3ce7e6a8515eb4f2b7e222c4eb6726c1d6d346e,True
results/tests/52/threshold__f50__threshold_value=210/detections.csv,data/tests/detection/threshold/legacy_t210__cfg4310fa76/frame_screening/video_52/frame_50/threshold__f50__threshold_value_210/detections.csv,move_file,1687,1,ac820dec9a149fd63face55ddc4e99366e545f665002ebfc609e898b6a55c11b,True
results/tests/52/threshold__f50__threshold_value=210/detections.png,data/tests/detection/threshold/legacy_t210__cfg4310fa76/frame_screening/video_52/frame_50/threshold__f50__threshold_value_210/detections.png,move_file,318144,1,8f345c4ef347556970ddf7f4d1af556533e5de567cf6e3ee98c4cab93b2668d6,True
results/tests/52/threshold__f50__threshold_value=210/summary.json,data/tests/detection/threshold/legacy_t210__cfg4310fa76/frame_screening/video_52/frame_50/threshold__f50__threshold_value_210/summary.json,move_file,2451,1,083a1b78a9d4bc17077cf24cbb0ac194053f08ad7b2e5b9c908f10766b441a84,True
results/tests/54/threshold__f0/00_input.png,data/tests/detection/_shared_inputs/video_54/frame_0.png,move_file,434581,1,dacd3d4147132016e0421b496ac643bd265b73bb2afda71dd08f9af66a142ffe,True
results/tests/54/threshold__f0/detections.csv,data/tests/detection/otsu/legacy_otsu_defaults__cfgbbaffb3e/frame_screening/video_54/frame_0/threshold__f0/detections.csv,move_file,8065,1,a87e96e84862ce260518be9688e4f001f33330c0749610209807fa4af798bfe9,True
